basis_kind,budget,method,model_queries,rmse,mc_rmse,rmse_ratio_vs_mc,rmse_ratio_ci_low,rmse_ratio_ci_high
saelens_sae,512,random_comp,12,0.00265163312266136,0.0029664424359069847,0.8938764799764697,0.746250638379483,1.0590690242607
saelens_sae,512,mc,12,0.0029664424359069847,0.0029664424359069847,1.0,1.0,1.0
saelens_sae,512,embedding_comp,12,0.00306041874450861,0.0029664424359069847,1.03167980186101,0.6951573262967528,1.2133557856156119
saelens_sae,512,output_active,12,0.003062037112531632,0.0029664424359069847,1.0322253604073122,0.7580848667787868,1.3165006857730086
saelens_sae,512,random_stratified,12,0.0034707269844433523,0.0029664424359069847,1.1699964045930267,1.0579138264245045,1.3295893777345313
saelens_sae,512,embedding_ase,12,0.004802236348212389,0.0029664424359069847,1.6188537118011237,1.132189213841331,1.9593638799582533
saelens_sae,512,ase_output,12,0.006761006558959505,0.0029664424359069847,2.279163241842021,1.0880646742969686,3.4477387118066303
saelens_sae,1024,per_query_rf,12,0.0013313405939378983,0.0023144039041394543,0.5752412496179744,0.41950212462440845,0.7083288724918426
saelens_sae,1024,output_comp,12,0.00148764863450387,0.0023144039041394543,0.6427783118768157,0.49006014940272585,0.7899470937680506
saelens_sae,1024,input_concept_comp,12,0.0016859293488492978,0.0023144039041394543,0.7284507884876573,0.528299952802064,0.9410150334692758
saelens_sae,1024,pca_comp,12,0.0018170182501471793,0.0023144039041394543,0.785091248289605,0.5565687202439137,1.005957886013581
saelens_sae,1024,output_active,12,0.0018818780972233628,0.0023144039041394543,0.8131156769384582,0.6317079810086762,1.0035984273344642
saelens_sae,1024,internal,12,0.0020865541448443644,0.0023144039041394543,0.9015514280426306,0.6521285093480342,1.1447019801015588
saelens_sae,1024,random_comp,12,0.002167975168117075,0.0023144039041394543,0.9367315550408108,0.7393622175480301,1.1306580465758875
saelens_sae,1024,mc,12,0.0023144039041394543,0.0023144039041394543,1.0,1.0,1.0
saelens_sae,1024,embedding_comp,12,0.0023272885010006106,0.0023144039041394543,1.0055671340849845,0.6860373522317379,1.319678912915013
saelens_sae,1024,random_stratified,12,0.00250600955143309,0.0023144039041394543,1.0827883356707693,0.8385862759962888,1.3292379427859498
saelens_sae,1024,ase_output,12,0.00287549277892496,0.0023144039041394543,1.2424334290924604,0.7333961748449181,1.7778212980334582
saelens_sae,1024,embedding_ase,12,0.0029685408380726373,0.0023144039041394543,1.282637327375407,0.9335012883640558,1.6321543795299447
saelens_sae,2048,per_query_rf,12,0.0012090185843054832,0.0014737677820549535,0.820358945979728,0.6190303225584375,0.9988497632682836
saelens_sae,2048,input_concept_comp,12,0.0012478857023185128,0.0014737677820549535,0.8467315662027289,0.6664027621892118,1.0509845563663271
saelens_sae,2048,output_comp,12,0.0012898369968369675,0.0014737677820549535,0.8751969018066595,0.6876592722731791,1.0501578691947528
saelens_sae,2048,output_active,12,0.0013158040023367257,0.0014737677820549535,0.892816370637462,0.704813043505471,1.0766180152366978
saelens_sae,2048,internal,12,0.0014304283496295656,0.0014737677820549535,0.970592767087799,0.6898289478500952,1.2321588264679315
saelens_sae,2048,mc,12,0.0014737677820549535,0.0014737677820549535,1.0,1.0,1.0
saelens_sae,2048,pca_comp,12,0.001497797627749316,0.0014737677820549535,1.0163050420744415,0.6801755239755108,1.3700538052684066
saelens_sae,2048,random_comp,12,0.001520618936795864,0.0014737677820549535,1.0317900522126922,0.7875859387695973,1.2852490391040838
saelens_sae,2048,embedding_comp,12,0.001534993646234554,0.0014737677820549535,1.0415437662059825,0.7417225746449649,1.3550217223751038
saelens_sae,2048,random_stratified,12,0.0016268611952395611,0.0014737677820549535,1.1038789251934529,0.8683672571225027,1.3298859467212756
saelens_sae,2048,ase_output,12,0.0017648137252304075,0.0014737677820549535,1.1974842622557762,0.9596131287761229,1.442296811645173
saelens_sae,2048,embedding_ase,12,0.0018446528552422542,0.0014737677820549535,1.2516577426262878,0.9681952672343881,1.5535800041843961
sklearn_sdl,64,input_concept_comp,12,0.0059703385474867005,0.007571300740784485,0.7885485931533734,0.5427463782912879,1.0037438364622622
sklearn_sdl,64,output_comp,12,0.0061278818359618535,0.007571300740784485,0.8093565485984018,0.5082590085932656,1.1046035735862578
sklearn_sdl,64,pca_comp,12,0.0064307521955299365,0.007571300740784485,0.8493589695743121,0.4889210197033722,1.1487306659565044
sklearn_sdl,64,internal,12,0.0064857650352681435,0.007571300740784485,0.8566249390056766,0.6307853648746391,0.9964281344877048
sklearn_sdl,64,random_comp,12,0.007154643212389282,0.007571300740784485,0.9449688312933093,0.73474403853536,1.1718606009130732
sklearn_sdl,64,mc,12,0.007571300740784485,0.007571300740784485,1.0,1.0,1.0
sklearn_sdl,64,output_active,12,0.008054892202172342,0.007571300740784485,1.0638716487357165,0.6485912397773773,1.3963046762600626
sklearn_sdl,64,per_query_rf,12,0.011187255712204051,0.007571300740784485,1.4775870217308136,0.5495532325311383,2.733759860161179
sklearn_sdl,64,embedding_ase,12,0.011565774042019247,0.007571300740784485,1.5275808527480157,1.1766105240029736,1.8350801078674723
sklearn_sdl,64,random_stratified,12,0.011699186699329131,0.007571300740784485,1.545201689890467,1.1685759420583235,1.8255146678544627
sklearn_sdl,64,embedding_comp,12,0.01226198495338926,0.007571300740784485,1.619534789753809,0.36769490178913933,2.534087447103241
sklearn_sdl,64,ase_output,12,0.016196650666448792,0.007571300740784485,2.1392163937171262,1.1854156294616667,2.946387186978731
sklearn_sdl,128,per_query_rf,12,0.003978407953656853,0.007975749014228196,0.49881308282891584,0.41714673590832857,0.6016413450192005
sklearn_sdl,128,internal,12,0.004063595416145158,0.007975749014228196,0.5094938931623825,0.3411926035405095,0.7844738854362516
sklearn_sdl,128,input_concept_comp,12,0.004609445251981058,0.007975749014228196,0.5779325858622331,0.3290774953897761,1.0073509762174369
sklearn_sdl,128,output_active,12,0.005044340664486817,0.007975749014228196,0.6324598047767118,0.581589469084669,0.7309318355775719
sklearn_sdl,128,random_comp,12,0.005289743246622023,0.007975749014228196,0.6632283986350974,0.5040009962050286,0.9582094360251161
sklearn_sdl,128,pca_comp,12,0.00543073905871381,0.007975749014228196,0.6809064639604054,0.42055336604601806,1.1676863965278126
sklearn_sdl,128,embedding_comp,12,0.00680442451328847,0.007975749014228196,0.8531392476305156,0.39765339345893636,1.497360983464819
sklearn_sdl,128,ase_output,12,0.007723315800398024,0.007975749014228196,0.9683499050208515,0.6992023951845858,1.4358175183835002
sklearn_sdl,128,random_stratified,12,0.0077446341113478895,0.007975749014228196,0.9710227964209991,0.8395276801208973,1.3227002098532896
sklearn_sdl,128,mc,12,0.007975749014228196,0.007975749014228196,1.0,1.0,1.0
sklearn_sdl,128,output_comp,12,0.008306983284375853,0.007975749014228196,1.0415301772356123,0.6751545556058164,1.1744379194948775
sklearn_sdl,128,embedding_ase,12,0.009973759208680944,0.007975749014228196,1.2505106656300786,0.9133521921726643,1.7994115587328572
sklearn_sdl,256,per_query_rf,12,0.0023738626821954625,0.004697319575876935,0.5053653778181123,0.4156420283718561,0.5867746741077532
sklearn_sdl,256,pca_comp,12,0.002504713816822396,0.004697319575876935,0.533221931436248,0.45409665082434975,0.6186649820122437
sklearn_sdl,256,input_concept_comp,12,0.0027895881168105837,0.004697319575876935,0.5938680713010249,0.4802804721519716,0.7050779380368553
sklearn_sdl,256,output_comp,12,0.003536959256316989,0.004697319575876935,0.7529739459246139,0.49539745815304287,0.9237964868189759
sklearn_sdl,256,internal,12,0.003900514805984825,0.004697319575876935,0.8303703299251562,0.5166960561159789,1.0387832065212332
sklearn_sdl,256,output_active,12,0.004120723685387037,0.004697319575876935,0.8772500186167865,0.6314264516286255,1.0843656269158797
sklearn_sdl,256,random_comp,12,0.004477009222650371,0.004697319575876935,0.9530987088130075,0.6354242082881916,1.2323078186426892
sklearn_sdl,256,random_stratified,12,0.004581685404882786,0.004697319575876935,0.9753829457148312,0.7982130051172001,1.1137682215084828
sklearn_sdl,256,mc,12,0.004697319575876935,0.004697319575876935,1.0,1.0,1.0
sklearn_sdl,256,embedding_ase,12,0.004785047258329956,0.004697319575876935,1.0186761153964372,0.8577339853435333,1.1753023765626514
sklearn_sdl,256,ase_output,12,0.004966130462381678,0.004697319575876935,1.057226442051169,0.9033825219905866,1.1572417685970129
sklearn_sdl,256,embedding_comp,12,0.005672140453655923,0.004697319575876935,1.2075270507003988,0.4803945917173864,1.799594925985438
sklearn_sdl,512,per_query_rf,12,0.001544822860215448,0.0029664424359069847,0.5207661680928999,0.434877521624051,0.6252188989584981
sklearn_sdl,512,pca_comp,12,0.001829960325122997,0.0029664424359069847,0.6168871854624375,0.5134650037700209,0.742166822927441
sklearn_sdl,512,internal,12,0.0022134721067601153,0.0029664424359069847,0.7461705914018014,0.4999905886411433,1.0864608338762187
sklearn_sdl,512,output_comp,12,0.002478150438733721,0.0029664424359069847,0.835394750539304,0.6808011932859164,0.9094348755285351
sklearn_sdl,512,input_concept_comp,12,0.002503310021690349,0.0029664424359069847,0.8438761498923091,0.6736044761569213,1.100297381542011
sklearn_sdl,512,random_comp,12,0.00265163312266136,0.0029664424359069847,0.8938764799764697,0.746250638379483,1.0590690242607
sklearn_sdl,512,mc,12,0.0029664424359069847,0.0029664424359069847,1.0,1.0,1.0
sklearn_sdl,512,embedding_comp,12,0.00306041874450861,0.0029664424359069847,1.03167980186101,0.6951573262967528,1.2133557856156119
sklearn_sdl,512,output_active,12,0.003062037112531632,0.0029664424359069847,1.0322253604073122,0.7580848667787868,1.3165006857730086
sklearn_sdl,512,random_stratified,12,0.0034707269844433523,0.0029664424359069847,1.1699964045930267,1.0579138264245045,1.3295893777345313
sklearn_sdl,512,embedding_ase,12,0.004802236348212389,0.0029664424359069847,1.6188537118011237,1.132189213841331,1.9593638799582533
sklearn_sdl,512,ase_output,12,0.006761006558959505,0.0029664424359069847,2.279163241842021,1.0880646742969686,3.4477387118066303
sklearn_sdl,1024,per_query_rf,12,0.0013313405939378983,0.0023144039041394543,0.5752412496179744,0.41950212462440845,0.7083288724918426
sklearn_sdl,1024,output_comp,12,0.00148764863450387,0.0023144039041394543,0.6427783118768157,0.49006014940272585,0.7899470937680506
sklearn_sdl,1024,input_concept_comp,12,0.0016859293488492978,0.0023144039041394543,0.7284507884876573,0.528299952802064,0.9410150334692758
sklearn_sdl,1024,internal,12,0.0017169519223382199,0.0023144039041394543,0.7418549196479255,0.5175335055196691,0.9578597500624143
sklearn_sdl,1024,pca_comp,12,0.0018170182501471793,0.0023144039041394543,0.785091248289605,0.5565687202439137,1.005957886013581
sklearn_sdl,1024,output_active,12,0.0018818780972233628,0.0023144039041394543,0.8131156769384582,0.6317079810086762,1.0035984273344642
sklearn_sdl,1024,random_comp,12,0.002167975168117075,0.0023144039041394543,0.9367315550408108,0.7393622175480301,1.1306580465758875
sklearn_sdl,1024,mc,12,0.0023144039041394543,0.0023144039041394543,1.0,1.0,1.0
sklearn_sdl,1024,embedding_comp,12,0.0023272885010006106,0.0023144039041394543,1.0055671340849845,0.6860373522317379,1.319678912915013
sklearn_sdl,1024,random_stratified,12,0.00250600955143309,0.0023144039041394543,1.0827883356707693,0.8385862759962888,1.3292379427859498
sklearn_sdl,1024,ase_output,12,0.00287549277892496,0.0023144039041394543,1.2424334290924604,0.7333961748449181,1.7778212980334582
sklearn_sdl,1024,embedding_ase,12,0.0029685408380726373,0.0023144039041394543,1.282637327375407,0.9335012883640558,1.6321543795299447
sklearn_sdl,2048,internal,12,0.0011988749473359098,0.0014737677820549535,0.8134761540683526,0.5741638041678198,1.0242145828232607
sklearn_sdl,2048,per_query_rf,12,0.0012090185843054832,0.0014737677820549535,0.820358945979728,0.6190303225584375,0.9988497632682836
sklearn_sdl,2048,input_concept_comp,12,0.0012478857023185128,0.0014737677820549535,0.8467315662027289,0.6664027621892118,1.0509845563663271
sklearn_sdl,2048,output_comp,12,0.0012898369968369675,0.0014737677820549535,0.8751969018066595,0.6876592722731791,1.0501578691947528
sklearn_sdl,2048,output_active,12,0.0013158040023367257,0.0014737677820549535,0.892816370637462,0.704813043505471,1.0766180152366978
sklearn_sdl,2048,mc,12,0.0014737677820549535,0.0014737677820549535,1.0,1.0,1.0
sklearn_sdl,2048,pca_comp,12,0.001497797627749316,0.0014737677820549535,1.0163050420744415,0.6801755239755108,1.3700538052684066
sklearn_sdl,2048,random_comp,12,0.001520618936795864,0.0014737677820549535,1.0317900522126922,0.7875859387695973,1.2852490391040838
sklearn_sdl,2048,embedding_comp,12,0.001534993646234554,0.0014737677820549535,1.0415437662059825,0.7417225746449649,1.3550217223751038
sklearn_sdl,2048,random_stratified,12,0.0016268611952395611,0.0014737677820549535,1.1038789251934529,0.8683672571225027,1.3298859467212756
sklearn_sdl,2048,ase_output,12,0.0017648137252304075,0.0014737677820549535,1.1974842622557762,0.9596131287761229,1.442296811645173
sklearn_sdl,2048,embedding_ase,12,0.0018446528552422542,0.0014737677820549535,1.2516577426262878,0.9681952672343881,1.5535800041843961
spd,64,input_concept_comp,12,0.0059703385474867005,0.007571300740784485,0.7885485931533734,0.5427463782912879,1.0037438364622622
spd,64,output_comp,12,0.0061278818359618535,0.007571300740784485,0.8093565485984018,0.5082590085932656,1.1046035735862578
spd,64,pca_comp,12,0.0064307521955299365,0.007571300740784485,0.8493589695743121,0.4889210197033722,1.1487306659565044
spd,64,random_comp,12,0.007154643212389282,0.007571300740784485,0.9449688312933093,0.73474403853536,1.1718606009130732
spd,64,mc,12,0.007571300740784485,0.007571300740784485,1.0,1.0,1.0
spd,64,output_active,12,0.008054892202172342,0.007571300740784485,1.0638716487357165,0.6485912397773773,1.3963046762600626
spd,64,internal,12,0.009533959428216129,0.007571300740784485,1.2592234484702673,0.6587402099921573,1.7493133233942981
spd,64,per_query_rf,12,0.011187255712204051,0.007571300740784485,1.4775870217308136,0.5495532325311383,2.733759860161179
spd,64,embedding_ase,12,0.011565774042019247,0.007571300740784485,1.5275808527480157,1.1766105240029736,1.8350801078674723
spd,64,random_stratified,12,0.011699186699329131,0.007571300740784485,1.545201689890467,1.1685759420583235,1.8255146678544627
spd,64,embedding_comp,12,0.01226198495338926,0.007571300740784485,1.619534789753809,0.36769490178913933,2.534087447103241
spd,64,ase_output,12,0.016196650666448792,0.007571300740784485,2.1392163937171262,1.1854156294616667,2.946387186978731
spd,128,per_query_rf,12,0.003978407953656853,0.007975749014228196,0.49881308282891584,0.41714673590832857,0.6016413450192005
spd,128,internal,12,0.004540524612779412,0.007975749014228196,0.5692913110329104,0.47979954020638466,0.7641601757151468
spd,128,input_concept_comp,12,0.004609445251981058,0.007975749014228196,0.5779325858622331,0.3290774953897761,1.0073509762174369
spd,128,output_active,12,0.005044340664486817,0.007975749014228196,0.6324598047767118,0.581589469084669,0.7309318355775719
spd,128,random_comp,12,0.005289743246622023,0.007975749014228196,0.6632283986350974,0.5040009962050286,0.9582094360251161
spd,128,pca_comp,12,0.00543073905871381,0.007975749014228196,0.6809064639604054,0.42055336604601806,1.1676863965278126
spd,128,embedding_comp,12,0.00680442451328847,0.007975749014228196,0.8531392476305156,0.39765339345893636,1.497360983464819
spd,128,ase_output,12,0.007723315800398024,0.007975749014228196,0.9683499050208515,0.6992023951845858,1.4358175183835002
spd,128,random_stratified,12,0.0077446341113478895,0.007975749014228196,0.9710227964209991,0.8395276801208973,1.3227002098532896
spd,128,mc,12,0.007975749014228196,0.007975749014228196,1.0,1.0,1.0
spd,128,output_comp,12,0.008306983284375853,0.007975749014228196,1.0415301772356123,0.6751545556058164,1.1744379194948775
spd,128,embedding_ase,12,0.009973759208680944,0.007975749014228196,1.2505106656300786,0.9133521921726643,1.7994115587328572
spd,256,per_query_rf,12,0.0023738626821954625,0.004697319575876935,0.5053653778181123,0.4156420283718561,0.5867746741077532
spd,256,pca_comp,12,0.002504713816822396,0.004697319575876935,0.533221931436248,0.45409665082434975,0.6186649820122437
spd,256,input_concept_comp,12,0.0027895881168105837,0.004697319575876935,0.5938680713010249,0.4802804721519716,0.7050779380368553
spd,256,internal,12,0.002797135161953614,0.004697319575876935,0.5954747418758327,0.4784985508945521,0.6961915589590176
spd,256,output_comp,12,0.003536959256316989,0.004697319575876935,0.7529739459246139,0.49539745815304287,0.9237964868189759
spd,256,output_active,12,0.004120723685387037,0.004697319575876935,0.8772500186167865,0.6314264516286255,1.0843656269158797
spd,256,random_comp,12,0.004477009222650371,0.004697319575876935,0.9530987088130075,0.6354242082881916,1.2323078186426892
spd,256,random_stratified,12,0.004581685404882786,0.004697319575876935,0.9753829457148312,0.7982130051172001,1.1137682215084828
spd,256,mc,12,0.004697319575876935,0.004697319575876935,1.0,1.0,1.0
spd,256,embedding_ase,12,0.004785047258329956,0.004697319575876935,1.0186761153964372,0.8577339853435333,1.1753023765626514
spd,256,ase_output,12,0.004966130462381678,0.004697319575876935,1.057226442051169,0.9033825219905866,1.1572417685970129
spd,256,embedding_comp,12,0.005672140453655923,0.004697319575876935,1.2075270507003988,0.4803945917173864,1.799594925985438
spd,512,per_query_rf,12,0.001544822860215448,0.0029664424359069847,0.5207661680928999,0.434877521624051,0.6252188989584981
spd,512,pca_comp,12,0.001829960325122997,0.0029664424359069847,0.6168871854624375,0.5134650037700209,0.742166822927441
spd,512,output_comp,12,0.002478150438733721,0.0029664424359069847,0.835394750539304,0.6808011932859164,0.9094348755285351
spd,512,input_concept_comp,12,0.002503310021690349,0.0029664424359069847,0.8438761498923091,0.6736044761569213,1.100297381542011
spd,512,random_comp,12,0.00265163312266136,0.0029664424359069847,0.8938764799764697,0.746250638379483,1.0590690242607
spd,512,internal,12,0.002702684474538727,0.0029664424359069847,0.9110861015957606,0.6639708945337149,1.207606414131136
spd,512,mc,12,0.0029664424359069847,0.0029664424359069847,1.0,1.0,1.0
spd,512,embedding_comp,12,0.00306041874450861,0.0029664424359069847,1.03167980186101,0.6951573262967528,1.2133557856156119
spd,512,output_active,12,0.003062037112531632,0.0029664424359069847,1.0322253604073122,0.7580848667787868,1.3165006857730086
spd,512,random_stratified,12,0.0034707269844433523,0.0029664424359069847,1.1699964045930267,1.0579138264245045,1.3295893777345313
spd,512,embedding_ase,12,0.004802236348212389,0.0029664424359069847,1.6188537118011237,1.132189213841331,1.9593638799582533
spd,512,ase_output,12,0.006761006558959505,0.0029664424359069847,2.279163241842021,1.0880646742969686,3.4477387118066303
spd,1024,per_query_rf,12,0.0013313405939378983,0.0023144039041394543,0.5752412496179744,0.41950212462440845,0.7083288724918426
spd,1024,output_comp,12,0.00148764863450387,0.0023144039041394543,0.6427783118768157,0.49006014940272585,0.7899470937680506
spd,1024,input_concept_comp,12,0.0016859293488492978,0.0023144039041394543,0.7284507884876573,0.528299952802064,0.9410150334692758
spd,1024,pca_comp,12,0.0018170182501471793,0.0023144039041394543,0.785091248289605,0.5565687202439137,1.005957886013581
spd,1024,output_active,12,0.0018818780972233628,0.0023144039041394543,0.8131156769384582,0.6317079810086762,1.0035984273344642
spd,1024,internal,12,0.0019470004582830323,0.0023144039041394543,0.8412535317628448,0.5517807376960796,1.089608100877683
spd,1024,random_comp,12,0.002167975168117075,0.0023144039041394543,0.9367315550408108,0.7393622175480301,1.1306580465758875
spd,1024,mc,12,0.0023144039041394543,0.0023144039041394543,1.0,1.0,1.0
spd,1024,embedding_comp,12,0.0023272885010006106,0.0023144039041394543,1.0055671340849845,0.6860373522317379,1.319678912915013
spd,1024,random_stratified,12,0.00250600955143309,0.0023144039041394543,1.0827883356707693,0.8385862759962888,1.3292379427859498
spd,1024,ase_output,12,0.00287549277892496,0.0023144039041394543,1.2424334290924604,0.7333961748449181,1.7778212980334582
spd,1024,embedding_ase,12,0.0029685408380726373,0.0023144039041394543,1.282637327375407,0.9335012883640558,1.6321543795299447
spd,2048,per_query_rf,12,0.0012090185843054832,0.0014737677820549535,0.820358945979728,0.6190303225584375,0.9988497632682836
spd,2048,input_concept_comp,12,0.0012478857023185128,0.0014737677820549535,0.8467315662027289,0.6664027621892118,1.0509845563663271
spd,2048,internal,12,0.0012720271656567566,0.0014737677820549535,0.8631123445262867,0.6700932031192036,1.0339471558898612
spd,2048,output_comp,12,0.0012898369968369675,0.0014737677820549535,0.8751969018066595,0.6876592722731791,1.0501578691947528
spd,2048,output_active,12,0.0013158040023367257,0.0014737677820549535,0.892816370637462,0.704813043505471,1.0766180152366978
spd,2048,mc,12,0.0014737677820549535,0.0014737677820549535,1.0,1.0,1.0
spd,2048,pca_comp,12,0.001497797627749316,0.0014737677820549535,1.0163050420744415,0.6801755239755108,1.3700538052684066
spd,2048,random_comp,12,0.001520618936795864,0.0014737677820549535,1.0317900522126922,0.7875859387695973,1.2852490391040838
spd,2048,embedding_comp,12,0.001534993646234554,0.0014737677820549535,1.0415437662059825,0.7417225746449649,1.3550217223751038
spd,2048,random_stratified,12,0.0016268611952395611,0.0014737677820549535,1.1038789251934529,0.8683672571225027,1.3298859467212756
spd,2048,ase_output,12,0.0017648137252304075,0.0014737677820549535,1.1974842622557762,0.9596131287761229,1.442296811645173
spd,2048,embedding_ase,12,0.0018446528552422542,0.0014737677820549535,1.2516577426262878,0.9681952672343881,1.5535800041843961
